KeywordOrClause,GrammarProduction,Category,ReadOnlyRelevance,CurrentStatus,Priority,TargetPhase,ImplementationNotes,JavaPythonParity,Source
List comprehension,<list comprehension>,Expression,Optional read-only feature,Not supported,P4,Phase 4,"Likely needs SQL arrays or JSON aggregation; grammar-specific.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
Pattern comprehension,<pattern comprehension>,Expression,Optional read-only feature,Not supported,P4,Phase 4,"Requires correlated subquery and collection representation.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
REDUCE,<reduce expression>,Expression,Optional read-only feature,Not supported,P4,Phase 4,"Requires list support first; likely grammar-specific.",Required,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
USE,Neo4j read query structure,Graph selection extension,Optional extension,Not supported,P4,Phase 5,"Relevant only when multiple catalogs/schemas/graphs are modeled; map to schema/catalog selection if supported.",Required if implemented,https://neo4j.com/docs/cypher-manual/current/cheat-sheet/
FILTER,Neo4j FILTER clause,Read filter extension,Optional extension,Not supported,P4,Phase 5,"Neo4j documents FILTER as standalone WHERE-like filter; can map to WHERE after pipeline model exists.",Required if implemented,https://neo4j.com/docs/cypher-manual/current/cheat-sheet/
LET,Neo4j LET clause,Binding extension,Optional extension,Not supported,P4,Phase 5,"Can be modeled as a lighter WITH once pipeline variable binding exists.",Required if implemented,https://neo4j.com/docs/cypher-manual/current/cheat-sheet/
SEARCH,Neo4j SEARCH clause,Vector/index extension,Optional extension,Not supported,P5,Phase 5,"Engine-specific vector index search; do not implement until SQL vector/index abstraction exists.",Required if implemented,https://neo4j.com/docs/cypher-manual/current/cheat-sheet/
CREATE,<create statement>,Write clause,Out of read-only scope,Placeholder write classes only,P5,Deferred,"Keep unsupported; future support would require transaction and DML semantics.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
MERGE,<merge statement>,Write clause,Out of read-only scope,Placeholder only,P5,Deferred,"Keep unsupported; ON MATCH/ON CREATE actions require write semantics and uniqueness guarantees.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
ON MATCH / ON CREATE,<merge action>,Write action,Out of read-only scope,Not supported,P5,Deferred,"Keep unsupported with MERGE.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
SET,<set statement>,Write clause,Out of read-only scope,Placeholder write class only,P5,Deferred,"Keep unsupported; do not generate UPDATE as side effect of read work.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
REMOVE,<remove statement>,Write clause,Out of read-only scope,Not supported,P5,Deferred,"Keep unsupported; would require property null/delete and label mutation semantics.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
DELETE / DETACH DELETE,<delete statement>,Write clause,Out of read-only scope,Placeholder write class only,P5,Deferred,"Keep unsupported; would require referential integrity and detach semantics.",Required only if product scope changes,https://raw.githubusercontent.com/opencypher/openCypher/main/grammar/openCypher.bnf
